# Transmission of Jlo Filter (BARR ED352; Gemini ID Jlow_G0801, F2)
# Wavelength (microns) Transmission at 77K (1=100%)
#
0.9000	0.0000
0.9005	0.0000
0.9010	0.0000
0.9015	0.0001
0.9020	0.0000
0.9025	0.0000
0.9030	0.0000
0.9035	0.0000
0.9040	0.0000
0.9045	0.0000
0.9050	0.0000
0.9055	0.0000
0.9060	0.0001
0.9065	0.0000
0.9070	0.0000
0.9075	0.0001
0.9080	0.0000
0.9085	0.0000
0.9090	0.0000
0.9095	0.0000
0.9100	0.0000
0.9105	0.0000
0.9110	0.0000
0.9115	0.0000
0.9120	0.0000
0.9125	0.0000
0.9130	0.0000
0.9135	0.0000
0.9140	0.0000
0.9145	0.0000
0.9150	0.0000
0.9155	0.0000
0.9160	0.0000
0.9165	0.0000
0.9170	0.0000
0.9175	0.0000
0.9180	0.0000
0.9185	0.0000
0.9190	0.0000
0.9195	0.0000
0.9200	0.0000
0.9205	0.0000
0.9210	0.0000
0.9215	0.0000
0.9220	0.0000
0.9225	0.0000
0.9230	0.0000
0.9235	0.0000
0.9240	0.0000
0.9245	0.0001
0.9250	0.0000
0.9255	0.0000
0.9260	0.0000
0.9265	0.0000
0.9270	0.0000
0.9275	0.0000
0.9280	0.0000
0.9285	0.0000
0.9290	0.0000
0.9295	0.0000
0.9300	0.0000
0.9305	0.0000
0.9310	0.0000
0.9315	0.0001
0.9320	0.0000
0.9325	0.0000
0.9330	0.0000
0.9335	0.0000
0.9340	0.0000
0.9345	0.0000
0.9350	0.0000
0.9355	0.0000
0.9360	0.0000
0.9365	0.0000
0.9370	0.0000
0.9375	0.0000
0.9380	0.0000
0.9385	0.0000
0.9390	0.0000
0.9395	0.0001
0.9400	0.0001
0.9405	0.0000
0.9410	0.0000
0.9415	0.0000
0.9420	0.0000
0.9425	0.0000
0.9430	0.0000
0.9435	0.0000
0.9440	0.0001
0.9445	0.0000
0.9450	0.0000
0.9455	0.0000
0.9460	0.0000
0.9465	0.0000
0.9470	0.0000
0.9475	0.0000
0.9480	0.0000
0.9485	0.0000
0.9490	0.0000
0.9495	0.0000
0.9500	0.0000
0.9505	0.0001
0.9510	0.0000
0.9515	0.0000
0.9520	0.0000
0.9525	0.0000
0.9530	0.0000
0.9535	0.0000
0.9540	0.0000
0.9545	0.0000
0.9550	0.0000
0.9555	0.0000
0.9560	0.0000
0.9565	0.0000
0.9570	0.0000
0.9575	0.0000
0.9580	0.0000
0.9585	0.0000
0.9590	0.0000
0.9595	0.0001
0.9600	0.0000
0.9605	0.0000
0.9610	0.0000
0.9615	0.0000
0.9620	0.0001
0.9625	0.0000
0.9630	0.0000
0.9635	0.0001
0.9640	0.0000
0.9645	0.0000
0.9650	0.0000
0.9655	0.0000
0.9660	0.0000
0.9665	0.0000
0.9670	0.0000
0.9675	0.0000
0.9680	0.0000
0.9685	0.0000
0.9690	0.0000
0.9695	0.0000
0.9700	0.0000
0.9705	0.0000
0.9710	0.0000
0.9715	0.0000
0.9720	0.0000
0.9725	0.0000
0.9730	0.0000
0.9735	0.0000
0.9740	0.0000
0.9745	0.0000
0.9750	0.0000
0.9755	0.0000
0.9760	0.0000
0.9765	0.0000
0.9770	0.0000
0.9775	0.0000
0.9780	0.0001
0.9785	0.0000
0.9790	0.0000
0.9795	0.0000
0.9800	0.0000
0.9805	0.0000
0.9810	0.0000
0.9815	0.0001
0.9820	0.0000
0.9825	0.0001
0.9830	0.0000
0.9835	0.0000
0.9840	0.0000
0.9845	0.0001
0.9850	0.0000
0.9855	0.0001
0.9860	0.0001
0.9865	0.0001
0.9870	0.0001
0.9875	0.0001
0.9880	0.0001
0.9885	0.0001
0.9890	0.0001
0.9895	0.0001
0.9900	0.0001
0.9905	0.0001
0.9910	0.0001
0.9915	0.0002
0.9920	0.0001
0.9925	0.0002
0.9930	0.0002
0.9935	0.0002
0.9940	0.0002
0.9945	0.0002
0.9950	0.0002
0.9955	0.0002
0.9960	0.0002
0.9965	0.0002
0.9970	0.0003
0.9975	0.0002
0.9980	0.0003
0.9985	0.0003
0.9990	0.0003
0.9995	0.0004
1.0000	0.0003
1.0005	0.0004
1.0010	0.0004
1.0015	0.0004
1.0020	0.0004
1.0025	0.0004
1.0030	0.0004
1.0035	0.0005
1.0040	0.0005
1.0045	0.0006
1.0050	0.0005
1.0055	0.0005
1.0060	0.0006
1.0065	0.0006
1.0070	0.0006
1.0075	0.0007
1.0080	0.0007
1.0085	0.0007
1.0090	0.0008
1.0095	0.0008
1.0100	0.0009
1.0105	0.0009
1.0110	0.0010
1.0115	0.0010
1.0120	0.0011
1.0125	0.0012
1.0130	0.0013
1.0135	0.0014
1.0140	0.0015
1.0145	0.0016
1.0150	0.0017
1.0155	0.0018
1.0160	0.0020
1.0165	0.0022
1.0170	0.0024
1.0175	0.0026
1.0180	0.0028
1.0185	0.0031
1.0190	0.0034
1.0195	0.0038
1.0200	0.0042
1.0205	0.0046
1.0210	0.0051
1.0215	0.0056
1.0220	0.0062
1.0225	0.0070
1.0230	0.0077
1.0235	0.0085
1.0240	0.0094
1.0245	0.0104
1.0250	0.0115
1.0255	0.0127
1.0260	0.0140
1.0265	0.0155
1.0270	0.0170
1.0275	0.0186
1.0280	0.0205
1.0285	0.0224
1.0290	0.0245
1.0295	0.0267
1.0300	0.0291
1.0305	0.0314
1.0310	0.0340
1.0315	0.0370
1.0320	0.0400
1.0325	0.0432
1.0330	0.0467
1.0335	0.0503
1.0340	0.0543
1.0345	0.0585
1.0350	0.0633
1.0355	0.0683
1.0360	0.0738
